arch,categories,device_suitability,disk_gb,downloads,id,likes,name,org,param_val,params,tags,updated,url,version
qwen2,,Portable (Laptop/Desktop),14.19 GB,343,open-r1/OlympicCoder-7B,181,open-r1/OlympicCoder-7B,open-r1,7.6,7.6B,"transformers, safetensors, qwen2, text-generation, conversational, en, dataset:open-r1/codeforces-cots, base_model:Qwen/Qwen2.5-Coder-7B-Instruct, base_model:finetune:Qwen/Qwen2.5-Coder-7B-Instruct, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/open-r1/OlympicCoder-7B,base_model:Qwen/Qwen2.5-Coder-7B-Instruct
cohere2,,Portable (Laptop/Desktop),14.95 GB,14528,CohereLabs/c4ai-command-r7b-12-2024,399,CohereLabs/c4ai-command-r7b-12-2024,CohereLabs,8.0,8.0B,"transformers, safetensors, cohere2, text-generation, conversational, en, fr, de, es, it, pt, ja, ko, zh, ar, el, fa, pl, id, cs, he, hi, nl, ro, ru, tr, uk, vi, arxiv:2504.00698, license:cc-by-nc-4.0, region:us",,https://huggingface.co/CohereLabs/c4ai-command-r7b-12-2024,N/A
aya_vision,,Portable (Laptop/Desktop),16.08 GB,55453,CohereLabs/aya-vision-8b,316,CohereLabs/aya-vision-8b,CohereLabs,8.6,8.6B,"transformers, safetensors, aya_vision, any-to-any, image-text-to-text, conversational, en, fr, de, es, it, pt, ja, ko, zh, ar, el, fa, pl, id, cs, he, hi, nl, ro, ru, tr, uk, vi, arxiv:2412.04261, license:cc-by-nc-4.0, region:us",,https://huggingface.co/CohereLabs/aya-vision-8b,N/A
mistral,,Portable (Laptop/Desktop),13.49 GB,2582,mistral-community/Mistral-7B-v0.2,228,mistral-community/Mistral-7B-v0.2,mistral-community,7.2,7.2B,"transformers, safetensors, mistral, text-generation, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/mistral-community/Mistral-7B-v0.2,v0.2
mistral,,Portable (Laptop/Desktop),13.5 GB,583,mistral-community/Mistral-7B-Instruct-v0.3,3,mistral-community/Mistral-7B-Instruct-v0.3,mistral-community,7.2,7.2B,"transformers, safetensors, mistral, text-generation, conversational, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/mistral-community/Mistral-7B-Instruct-v0.3,v0.3
whisper,,Edge-Efficient (Phone/Tablet),17.25 GB,5920966,openai/whisper-large-v3,5212,openai/whisper-large-v3,openai,1.5,1.5B,"transformers, pytorch, jax, safetensors, whisper, automatic-speech-recognition, audio, hf-asr-leaderboard, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/openai/whisper-large-v3,v3
whisper,,Ultra-Light (Mobile/IoT),1.51 GB,4335223,openai/whisper-large-v3-turbo,2728,openai/whisper-large-v3-turbo,openai,0.8089,808.9M,"transformers, safetensors, whisper, automatic-speech-recognition, audio, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, base_model:openai/whisper-large-v3, base_model:finetune:openai/whisper-large-v3, license:mit, endpoints_compatible, region:us",,https://huggingface.co/openai/whisper-large-v3-turbo,v3
clip,,Ultra-Light (Mobile/IoT),3.19 GB,9134739,openai/clip-vit-large-patch14,1927,openai/clip-vit-large-patch14,openai,0.42760000000000004,427.6M,"transformers, pytorch, tf, jax, safetensors, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",,https://huggingface.co/openai/clip-vit-large-patch14,N/A
whisper,,Edge-Efficient (Phone/Tablet),11.5 GB,63796,openai/whisper-large-v2,1777,openai/whisper-large-v2,openai,1.5,1.5B,"transformers, pytorch, tf, jax, safetensors, whisper, automatic-speech-recognition, audio, hf-asr-leaderboard, en, zh, de, es, ru, ko, fr, ja, pt, tr, pl, ca, nl, ar, sv, it, id, hi, fi, vi, he, uk, el, ms, cs, ro, da, hu, ta, no, th, ur, hr, bg, lt, la, mi, ml, cy, sk, te, fa, lv, bn, sr, az, sl, kn, et, mk, br, eu, is, hy, ne, mn, bs, kk, sq, sw, gl, mr, pa, si, km, sn, yo, so, af, oc, ka, be, tg, sd, gu, am, yi, lo, uz, fo, ht, ps, tk, nn, mt, sa, lb, my, bo, tl, mg, as, tt, haw, ln, ha, ba, jw, su, arxiv:2212.04356, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/openai/whisper-large-v2,v2
Unknown,,Edge-Efficient (Phone/Tablet),3.75 GB,2281,stabilityai/stable-fast-3d,716,stabilityai/stable-fast-3d,stabilityai,1.0,1.0B,"safetensors, image-to-3d, dataset:allenai/objaverse, arxiv:2408.00653, license:other, region:us",,https://huggingface.co/stabilityai/stable-fast-3d,N/A
stablelm,,Edge-Efficient (Phone/Tablet),14.41 GB,5259,stabilityai/stable-code-3b,658,stabilityai/stable-code-3b,stabilityai,2.8,2.8B,"transformers, safetensors, gguf, stablelm, text-generation, causal-lm, code, en, dataset:tiiuae/falcon-refinedweb, dataset:bigcode/the-stack-github-issues, dataset:bigcode/commitpackft, dataset:bigcode/starcoderdata, dataset:EleutherAI/proof-pile-2, dataset:meta-math/MetaMathQA, arxiv:2307.09288, arxiv:2104.09864, arxiv:2204.06745, arxiv:2305.06161, arxiv:2310.10631, arxiv:2309.12284, arxiv:1910.02054, license:other, model-index, endpoints_compatible, region:us",,https://huggingface.co/stabilityai/stable-code-3b,N/A
stablelm,,Edge-Efficient (Phone/Tablet),5.21 GB,18931,stabilityai/stablelm-3b-4e1t,312,stabilityai/stablelm-3b-4e1t,stabilityai,2.8,2.8B,"transformers, safetensors, stablelm, text-generation, causal-lm, en, dataset:tiiuae/falcon-refinedweb, dataset:togethercomputer/RedPajama-Data-1T, dataset:CarperAI/pilev2-dev, dataset:bigcode/starcoderdata, dataset:allenai/peS2o, arxiv:2307.09288, arxiv:2104.09864, arxiv:2204.06745, arxiv:1607.06450, arxiv:1910.07467, arxiv:2101.00027, arxiv:2305.06161, arxiv:1910.02054, license:cc-by-sa-4.0, model-index, endpoints_compatible, region:us",,https://huggingface.co/stabilityai/stablelm-3b-4e1t,N/A
smollm3,,Edge-Efficient (Phone/Tablet),5.73 GB,96174,HuggingFaceTB/SmolLM3-3B,842,HuggingFaceTB/SmolLM3-3B,HuggingFaceTB,3.1,3.1B,"transformers, safetensors, smollm3, text-generation, conversational, en, fr, es, it, pt, zh, ar, ru, base_model:HuggingFaceTB/SmolLM3-3B-Base, base_model:finetune:HuggingFaceTB/SmolLM3-3B-Base, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/HuggingFaceTB/SmolLM3-3B,license:apache-2.0
llama,,Edge-Efficient (Phone/Tablet),3.19 GB,40199,HuggingFaceTB/SmolLM2-1.7B-Instruct,690,HuggingFaceTB/SmolLM2-1.7B-Instruct,HuggingFaceTB,1.7,1.7B,"transformers, tensorboard, onnx, safetensors, llama, text-generation, transformers.js, conversational, en, arxiv:2502.02737, base_model:HuggingFaceTB/SmolLM2-1.7B, base_model:quantized:HuggingFaceTB/SmolLM2-1.7B, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/HuggingFaceTB/SmolLM2-1.7B-Instruct,1.7
idefics3,,Ultra-Light (Mobile/IoT),0.48 GB,403875,HuggingFaceTB/SmolVLM-256M-Instruct,312,HuggingFaceTB/SmolVLM-256M-Instruct,HuggingFaceTB,0.2565,256.5M,"transformers, onnx, safetensors, idefics3, image-to-text, image-text-to-text, conversational, en, dataset:HuggingFaceM4/the_cauldron, dataset:HuggingFaceM4/Docmatix, arxiv:2504.05299, base_model:HuggingFaceTB/SmolLM2-135M-Instruct, base_model:quantized:HuggingFaceTB/SmolLM2-135M-Instruct, license:apache-2.0, endpoints_compatible, region:us",,https://huggingface.co/HuggingFaceTB/SmolVLM-256M-Instruct,N/A
smolvlm,,Edge-Efficient (Phone/Tablet),8.37 GB,137212,HuggingFaceTB/SmolVLM2-2.2B-Instruct,291,HuggingFaceTB/SmolVLM2-2.2B-Instruct,HuggingFaceTB,2.2,2.2B,"transformers, safetensors, smolvlm, any-to-any, video-text-to-text, image-text-to-text, conversational, en, dataset:HuggingFaceM4/the_cauldron, dataset:HuggingFaceM4/Docmatix, dataset:lmms-lab/LLaVA-OneVision-Data, dataset:lmms-lab/M4-Instruct-Data, dataset:HuggingFaceFV/finevideo, dataset:MAmmoTH-VL/MAmmoTH-VL-Instruct-12M, dataset:lmms-lab/LLaVA-Video-178K, dataset:orrzohar/Video-STaR, dataset:Mutonix/Vript, dataset:TIGER-Lab/VISTA-400K, dataset:Enxin/MovieChat-1K_train, dataset:ShareGPT4Video/ShareGPT4Video, arxiv:2504.05299, base_model:HuggingFaceTB/SmolVLM-Instruct, base_model:finetune:HuggingFaceTB/SmolVLM-Instruct, license:apache-2.0, endpoints_compatible, region:us",,https://huggingface.co/HuggingFaceTB/SmolVLM2-2.2B-Instruct,2.2
llama,,Ultra-Light (Mobile/IoT),0.25 GB,304563,HuggingFaceTB/SmolLM2-135M-Instruct,272,HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB,0.1345,134.5M,"transformers, tensorboard, onnx, safetensors, llama, text-generation, transformers.js, conversational, en, arxiv:2502.02737, base_model:HuggingFaceTB/SmolLM2-135M, base_model:quantized:HuggingFaceTB/SmolLM2-135M, license:apache-2.0, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/HuggingFaceTB/SmolLM2-135M-Instruct,N/A
llama,,Ultra-Light (Mobile/IoT),0.5 GB,394236,HuggingFaceTB/SmolLM-135M,238,HuggingFaceTB/SmolLM-135M,HuggingFaceTB,0.1345,134.5M,"transformers, onnx, safetensors, llama, text-generation, en, dataset:HuggingFaceTB/smollm-corpus, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/HuggingFaceTB/SmolLM-135M,N/A
llama,,Edge-Efficient (Phone/Tablet),2.3 GB,2840778,meta-llama/Llama-3.2-1B,2225,meta-llama/Llama-3.2-1B,meta-llama,1.2,1.2B,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/meta-llama/Llama-3.2-1B,3.2
llama,,Edge-Efficient (Phone/Tablet),5.98 GB,1620098,meta-llama/Llama-3.2-3B-Instruct,1877,meta-llama/Llama-3.2-3B-Instruct,meta-llama,3.2,3.2B,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,3.2
llama,,Edge-Efficient (Phone/Tablet),2.3 GB,3556892,meta-llama/Llama-3.2-1B-Instruct,1210,meta-llama/Llama-3.2-1B-Instruct,meta-llama,1.2,1.2B,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,3.2
llama,,Edge-Efficient (Phone/Tablet),5.98 GB,329878,meta-llama/Llama-3.2-3B,675,meta-llama/Llama-3.2-3B,meta-llama,3.2,3.2B,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, arxiv:2405.16406, license:llama3.2, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/meta-llama/Llama-3.2-3B,3.2
phi,,Edge-Efficient (Phone/Tablet),5.18 GB,1150555,microsoft/phi-2,3412,microsoft/phi-2,microsoft,2.8,2.8B,"transformers, safetensors, phi, text-generation, nlp, code, en, license:mit, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/microsoft/phi-2,N/A
vibevoice,,Edge-Efficient (Phone/Tablet),5.04 GB,600844,microsoft/VibeVoice-1.5B,2099,microsoft/VibeVoice-1.5B,microsoft,2.7,2.7B,"transformers, safetensors, vibevoice, text-generation, Podcast, text-to-speech, en, zh, arxiv:2508.19205, arxiv:2412.08635, license:mit, endpoints_compatible, region:us",,https://huggingface.co/microsoft/VibeVoice-1.5B,1.5
florence2,,Ultra-Light (Mobile/IoT),2.9 GB,873797,microsoft/Florence-2-large,1721,microsoft/Florence-2-large,microsoft,0.7767000000000001,776.7M,"transformers, pytorch, safetensors, florence2, any-to-any, vision, image-text-to-text, custom_code, arxiv:2311.06242, license:mit, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Florence-2-large,arxiv:2311.06242
phi3,,Edge-Efficient (Phone/Tablet),7.12 GB,169407,microsoft/Phi-3-mini-128k-instruct,1685,microsoft/Phi-3-mini-128k-instruct,microsoft,3.8,3.8B,"transformers, safetensors, phi3, text-generation, nlp, code, conversational, custom_code, en, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,N/A
phi4mm,,Portable (Laptop/Desktop),10.38 GB,349765,microsoft/Phi-4-multimodal-instruct,1549,microsoft/Phi-4-multimodal-instruct,microsoft,5.6,5.6B,"transformers, safetensors, phi4mm, text-generation, nlp, code, audio, automatic-speech-recognition, speech-summarization, speech-translation, visual-question-answering, phi-4-multimodal, phi, phi-4-mini, custom_code, multilingual, ar, zh, cs, da, nl, en, fi, fr, de, he, hu, it, ja, ko, no, pl, pt, ru, es, sv, th, tr, uk, arxiv:2503.01743, arxiv:2407.13833, license:mit, region:us",,https://huggingface.co/microsoft/Phi-4-multimodal-instruct,arxiv:2503.01743
phi,,Edge-Efficient (Phone/Tablet),2.64 GB,49100,microsoft/phi-1_5,1352,microsoft/phi-1_5,microsoft,1.4,1.4B,"transformers, safetensors, phi, text-generation, nlp, code, en, arxiv:2309.05463, license:mit, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/microsoft/phi-1_5,N/A
phi3,,Edge-Efficient (Phone/Tablet),7.12 GB,2062724,microsoft/Phi-3-mini-4k-instruct,1351,microsoft/Phi-3-mini-4k-instruct,microsoft,3.8,3.8B,"transformers, safetensors, phi3, text-generation, nlp, code, conversational, custom_code, en, fr, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,N/A
bitnet,,Ultra-Light (Mobile/IoT),1.1 GB,8534,microsoft/bitnet-b1.58-2B-4T,1229,microsoft/bitnet-b1.58-2B-4T,microsoft,0.8498,849.8M,"transformers, safetensors, bitnet, text-generation, chat, large-language-model, conversational, custom_code, en, arxiv:2504.12285, license:mit, endpoints_compatible, 8-bit, deploy:azure, region:us",,https://huggingface.co/microsoft/bitnet-b1.58-2B-4T,1.58
phi3_v,,Portable (Laptop/Desktop),7.72 GB,16427,microsoft/Phi-3-vision-128k-instruct,969,microsoft/Phi-3-vision-128k-instruct,microsoft,4.1,4.1B,"transformers, safetensors, phi3_v, text-generation, nlp, code, vision, conversational, custom_code, multilingual, license:mit, region:us",,https://huggingface.co/microsoft/Phi-3-vision-128k-instruct,N/A
vibevoice_streaming,,Edge-Efficient (Phone/Tablet),1.9 GB,193691,microsoft/VibeVoice-Realtime-0.5B,944,microsoft/VibeVoice-Realtime-0.5B,microsoft,1.0,1.0B,"transformers, safetensors, vibevoice_streaming, Realtime TTS, Streaming text input, Long-form speech generation, text-to-speech, en, arxiv:2508.19205, arxiv:2412.08635, base_model:Qwen/Qwen2.5-0.5B, base_model:finetune:Qwen/Qwen2.5-0.5B, license:mit, endpoints_compatible, region:us",,https://huggingface.co/microsoft/VibeVoice-Realtime-0.5B,0.5
phi3,,Edge-Efficient (Phone/Tablet),7.12 GB,352398,microsoft/Phi-3.5-mini-instruct,938,microsoft/Phi-3.5-mini-instruct,microsoft,3.8,3.8B,"transformers, safetensors, phi3, text-generation, nlp, code, conversational, custom_code, multilingual, arxiv:2404.14219, arxiv:2407.13833, arxiv:2403.06412, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,3.5
phi3_v,,Portable (Laptop/Desktop),7.72 GB,495748,microsoft/Phi-3.5-vision-instruct,720,microsoft/Phi-3.5-vision-instruct,microsoft,4.1,4.1B,"transformers, safetensors, phi3_v, text-generation, nlp, code, vision, image-text-to-text, conversational, custom_code, multilingual, arxiv:2404.14219, license:mit, region:us",,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,3.5
phi3,,Edge-Efficient (Phone/Tablet),7.15 GB,307129,microsoft/Phi-4-mini-instruct,646,microsoft/Phi-4-mini-instruct,microsoft,3.8,3.8B,"transformers, safetensors, phi3, text-generation, nlp, code, conversational, custom_code, multilingual, ar, zh, cs, da, nl, en, fi, fr, de, he, hu, it, ja, ko, no, pl, pt, ru, es, sv, th, tr, uk, arxiv:2503.01743, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Phi-4-mini-instruct,N/A
layoutlmv3,,Ultra-Light (Mobile/IoT),1.4 GB,423582,microsoft/layoutlmv3-base,465,microsoft/layoutlmv3-base,microsoft,0.1253,125.3M,"transformers, pytorch, tf, onnx, safetensors, layoutlmv3, en, arxiv:2204.08387, license:cc-by-nc-sa-4.0, endpoints_compatible, region:us",,https://huggingface.co/microsoft/layoutlmv3-base,v3
qwen2_5_vl,,Portable (Laptop/Desktop),15.45 GB,147439,microsoft/Fara-7B,443,microsoft/Fara-7B,microsoft,8.3,8.3B,"transformers, safetensors, qwen2_5_vl, image-to-text, multimodal, image-text-to-text, conversational, en, arxiv:2511.19663, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/microsoft/Fara-7B,N/A
magma,,Portable (Laptop/Desktop),16.58 GB,2101,microsoft/Magma-8B,411,microsoft/Magma-8B,microsoft,8.9,8.9B,"transformers, safetensors, magma, text-generation, robotics, custom_code, arxiv:2502.13130, arxiv:2310.11441, license:mit, deploy:azure, region:us",,https://huggingface.co/microsoft/Magma-8B,N/A
openlm,,Portable (Laptop/Desktop),25.67 GB,203,apple/DCLM-7B,832,apple/DCLM-7B,apple,6.9,6.9B,"transformers, safetensors, openlm, arxiv:2406.11794, license:apple-ascl, endpoints_compatible, region:us",,https://huggingface.co/apple/DCLM-7B,N/A
llava_qwen2,,Ultra-Light (Mobile/IoT),1.41 GB,8919,apple/FastVLM-0.5B,357,apple/FastVLM-0.5B,apple,0.7587999999999999,758.8M,"ml-fastvlm, safetensors, llava_qwen2, text-generation, transformers, conversational, custom_code, arxiv:2412.13303, license:apple-amlr, region:us",,https://huggingface.co/apple/FastVLM-0.5B,0.5
openelm,,Edge-Efficient (Phone/Tablet),5.66 GB,1574,apple/OpenELM-3B-Instruct,339,apple/OpenELM-3B-Instruct,apple,3.0,3.0B,"transformers, safetensors, openelm, text-generation, custom_code, arxiv:2404.14619, license:apple-amlr, region:us",,https://huggingface.co/apple/OpenELM-3B-Instruct,N/A
Dream,,Portable (Laptop/Desktop),14.19 GB,674,apple/DiffuCoder-7B-cpGRPO,316,apple/DiffuCoder-7B-cpGRPO,apple,7.6,7.6B,"safetensors, Dream, code, text-diffusion-model, diffusion large language model, custom_code, arxiv:2506.20639, base_model:apple/DiffuCoder-7B-Instruct, base_model:finetune:apple/DiffuCoder-7B-Instruct, license:apple-amlr, region:us",,https://huggingface.co/apple/DiffuCoder-7B-cpGRPO,N/A
llava_qwen2,,Portable (Laptop/Desktop),14.46 GB,889,apple/FastVLM-7B,262,apple/FastVLM-7B,apple,7.8,7.8B,"ml-fastvlm, safetensors, llava_qwen2, text-generation, transformers, conversational, custom_code, arxiv:2412.13303, license:apple-amlr, region:us",,https://huggingface.co/apple/FastVLM-7B,N/A
llava_qwen2,,Edge-Efficient (Phone/Tablet),3.56 GB,2731,apple/FastVLM-1.5B,71,apple/FastVLM-1.5B,apple,1.9,1.9B,"ml-fastvlm, safetensors, llava_qwen2, text-generation, transformers, conversational, custom_code, arxiv:2412.13303, license:apple-amlr, region:us",,https://huggingface.co/apple/FastVLM-1.5B,1.5
chatglm,,Portable (Laptop/Desktop),23.26 GB,67249,zai-org/chatglm3-6b,1156,zai-org/chatglm3-6b,zai-org,6.2,6.2B,"transformers, pytorch, safetensors, chatglm, glm, thudm, custom_code, zh, en, arxiv:2103.10360, arxiv:2210.02414, arxiv:2406.12793, endpoints_compatible, region:us",,https://huggingface.co/zai-org/chatglm3-6b,N/A
hunyuan_v1_dense,,Portable (Laptop/Desktop),14.96 GB,12237,tencent/Hunyuan-MT-7B,708,tencent/Hunyuan-MT-7B,tencent,8.0,8.0B,"transformers, safetensors, hunyuan_v1_dense, text-generation, translation, zh, en, fr, pt, es, ja, tr, ru, ar, ko, th, it, de, vi, ms, id, tl, hi, pl, cs, nl, km, my, fa, gu, ur, te, mr, he, bn, ta, uk, bo, kk, mn, ug, arxiv:2509.05209, endpoints_compatible, region:us",,https://huggingface.co/tencent/Hunyuan-MT-7B,N/A
hunyuan_v1_dense,,Edge-Efficient (Phone/Tablet),3.34 GB,771,tencent/Hunyuan-1.8B-Instruct,597,tencent/Hunyuan-1.8B-Instruct,tencent,1.8,1.8B,"transformers, safetensors, hunyuan_v1_dense, text-generation, conversational, endpoints_compatible, region:us",,https://huggingface.co/tencent/Hunyuan-1.8B-Instruct,1.8
gemma,,Portable (Laptop/Desktop),47.72 GB,56300,google/gemma-7b,3245,google/gemma-7b,google,8.5,8.5B,"transformers, safetensors, gguf, gemma, text-generation, arxiv:2305.14314, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, license:gemma, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-7b,arxiv:2305.14314
gemma3_text,,Ultra-Light (Mobile/IoT),1.13 GB,1112022,google/embeddinggemma-300m,1337,google/embeddinggemma-300m,google,0.3029,302.9M,"sentence-transformers, safetensors, gemma3_text, sentence-similarity, feature-extraction, text-embeddings-inference, arxiv:2509.20354, license:gemma, endpoints_compatible, region:us",,https://huggingface.co/google/embeddinggemma-300m,arxiv:2509.20354
gemma,,Portable (Laptop/Desktop),47.72 GB,127751,google/gemma-7b-it,1223,google/gemma-7b-it,google,8.5,8.5B,"transformers, safetensors, gguf, gemma, text-generation, conversational, arxiv:2312.11805, arxiv:2009.03300, arxiv:1905.07830, arxiv:1911.11641, arxiv:1904.09728, arxiv:1905.10044, arxiv:1907.10641, arxiv:1811.00937, arxiv:1809.02789, arxiv:1911.01547, arxiv:1705.03551, arxiv:2107.03374, arxiv:2108.07732, arxiv:2110.14168, arxiv:2304.06364, arxiv:2206.04615, arxiv:1804.06876, arxiv:2110.08193, arxiv:2009.11462, arxiv:2101.11718, arxiv:1804.09301, arxiv:2109.07958, arxiv:2203.09509, base_model:google/gemma-7b, base_model:finetune:google/gemma-7b, license:gemma, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-7b-it,N/A
