arch,categories,device_suitability,disk_gb,downloads,id,likes,name,org,param_val,params,tags,updated,url,version
gemma3,,Portable (Laptop/Desktop),8.01 GB,941883,google/gemma-3-4b-it,1048,google/gemma-3-4b-it,google,4.3,4.3B,"transformers, safetensors, gemma3, any-to-any, image-text-to-text, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-4b-pt, base_model:finetune:google/gemma-3-4b-pt, license:gemma, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-3-4b-it,N/A
t5,,Ultra-Light (Mobile/IoT),1.85 GB,912546,google/flan-t5-base,1029,google/flan-t5-base,google,0.2476,247.6M,"transformers, pytorch, tf, jax, safetensors, t5, text2text-generation, en, fr, ro, de, multilingual, dataset:svakulenk0/qrecc, dataset:taskmaster2, dataset:djaym7/wiki_dialog, dataset:deepmind/code_contests, dataset:lambada, dataset:gsm8k, dataset:aqua_rat, dataset:esnli, dataset:quasc, dataset:qed, arxiv:2210.11416, arxiv:1910.09700, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/google/flan-t5-base,N/A
gemma3_text,,Ultra-Light (Mobile/IoT),0.5 GB,60877,google/gemma-3-270m,931,google/gemma-3-270m,google,0.2681,268.1M,"transformers, safetensors, gemma3_text, text-generation, gemma3, gemma, google, arxiv:2503.19786, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:2311.07911, arxiv:2311.12022, arxiv:2411.04368, arxiv:1904.09728, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2108.07732, arxiv:2107.03374, arxiv:2403.07974, arxiv:2305.03111, arxiv:2405.04520, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2310.02255, arxiv:2312.11805, license:gemma, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-3-270m,N/A
vit,,Ultra-Light (Mobile/IoT),0.65 GB,4903510,google/vit-base-patch16-224,912,google/vit-base-patch16-224,google,0.0866,86.6M,"transformers, pytorch, tf, jax, safetensors, vit, image-classification, vision, dataset:imagenet-1k, dataset:imagenet-21k, arxiv:2010.11929, arxiv:2006.03677, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/google/vit-base-patch16-224,N/A
t5,,Ultra-Light (Mobile/IoT),5.84 GB,509254,google/flan-t5-large,855,google/flan-t5-large,google,0.7832,783.2M,"transformers, pytorch, tf, jax, safetensors, t5, text2text-generation, en, fr, ro, de, multilingual, dataset:svakulenk0/qrecc, dataset:taskmaster2, dataset:djaym7/wiki_dialog, dataset:deepmind/code_contests, dataset:lambada, dataset:gsm8k, dataset:aqua_rat, dataset:esnli, dataset:quasc, dataset:qed, arxiv:2210.11416, arxiv:1910.09700, license:apache-2.0, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/google/flan-t5-large,N/A
gemma3n,,Portable (Laptop/Desktop),14.63 GB,68428,google/gemma-3n-E4B-it,831,google/gemma-3n-E4B-it,google,7.8,7.8B,"transformers, safetensors, gemma3n, any-to-any, automatic-speech-recognition, automatic-speech-translation, audio-text-to-text, video-text-to-text, image-text-to-text, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2210.03057, arxiv:2502.12404, arxiv:2411.19799, arxiv:2009.03300, arxiv:2502.21228, arxiv:2311.12022, arxiv:2403.07974, arxiv:2108.07732, arxiv:2107.03374, base_model:google/gemma-3n-E4B, base_model:finetune:google/gemma-3n-E4B, license:gemma, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-3n-E4B-it,N/A
gemma3,,Portable (Laptop/Desktop),8.01 GB,476806,google/medgemma-4b-it,797,google/medgemma-4b-it,google,4.3,4.3B,"transformers, safetensors, gemma3, any-to-any, medical, radiology, clinical-reasoning, dermatology, pathology, ophthalmology, chest-x-ray, image-text-to-text, conversational, arxiv:2303.15343, arxiv:2507.05201, arxiv:2405.03162, arxiv:2106.14463, arxiv:2412.03555, arxiv:2501.19393, arxiv:2009.13081, arxiv:2102.09542, arxiv:2411.15640, arxiv:2404.05590, arxiv:2501.18362, base_model:google/medgemma-4b-pt, base_model:finetune:google/medgemma-4b-pt, license:other, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/medgemma-4b-it,N/A
gemma3_text,,Ultra-Light (Mobile/IoT),1.87 GB,1506390,google/gemma-3-1b-it,750,google/gemma-3-1b-it,google,0.9999,999.9M,"transformers, safetensors, gemma3_text, text-generation, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-1b-pt, base_model:finetune:google/gemma-3-1b-pt, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-3-1b-it,arxiv:1905.07830
siglip,,Ultra-Light (Mobile/IoT),3.27 GB,6488548,google/siglip-so400m-patch14-384,630,google/siglip-so400m-patch14-384,google,0.878,878.0M,"transformers, safetensors, siglip, zero-shot-image-classification, vision, arxiv:2303.15343, arxiv:2305.13035, arxiv:2209.06794, license:apache-2.0, endpoints_compatible, region:us",,https://huggingface.co/google/siglip-so400m-patch14-384,N/A
gemma3_text,,Ultra-Light (Mobile/IoT),0.5 GB,189487,google/gemma-3-270m-it,489,google/gemma-3-270m-it,google,0.2681,268.1M,"transformers, safetensors, gemma3_text, text-generation, gemma3, gemma, google, conversational, arxiv:2503.19786, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:2311.07911, arxiv:2311.12022, arxiv:2411.04368, arxiv:1904.09728, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2108.07732, arxiv:2107.03374, arxiv:2403.07974, arxiv:2305.03111, arxiv:2405.04520, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2310.02255, arxiv:2312.11805, base_model:google/gemma-3-270m, base_model:finetune:google/gemma-3-270m, license:gemma, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/google/gemma-3-270m-it,N/A
idefics3,,Ultra-Light (Mobile/IoT),0.48 GB,162376,ibm-granite/granite-docling-258M,1055,ibm-granite/granite-docling-258M,ibm-granite,0.2575,257.5M,"transformers, safetensors, idefics3, image-to-text, text-generation, documents, code, formula, chart, ocr, layout, table, document-parse, docling, granite, extraction, math, image-text-to-text, conversational, en, dataset:ds4sd/SynthCodeNet, dataset:ds4sd/SynthFormulaNet, dataset:ds4sd/SynthChartNet, dataset:HuggingFaceM4/DoclingMatix, arxiv:2501.17887, arxiv:2503.11576, arxiv:2305.03393, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/ibm-granite/granite-docling-258M,arxiv:2501.17887
granitemoehybrid,,Edge-Efficient (Phone/Tablet),6.34 GB,50284,ibm-granite/granite-4.0-micro,240,ibm-granite/granite-4.0-micro,ibm-granite,3.4,3.4B,"transformers, safetensors, granitemoehybrid, text-generation, language, granite-4.0, conversational, arxiv:0000.00000, license:apache-2.0, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/ibm-granite/granite-4.0-micro,4.0
llava_next,,Edge-Efficient (Phone/Tablet),5.54 GB,10959,ibm-granite/granite-vision-3.3-2b,52,ibm-granite/granite-vision-3.3-2b,ibm-granite,3.0,3.0B,"safetensors, llava_next, arxiv:2502.09927, license:apache-2.0, region:us",,https://huggingface.co/ibm-granite/granite-vision-3.3-2b,3.3
llama,,Portable (Laptop/Desktop),14.96 GB,10327,nvidia/Llama3-ChatQA-1.5-8B,554,nvidia/Llama3-ChatQA-1.5-8B,nvidia,8.0,8.0B,"transformers, safetensors, llama, text-generation, nvidia, chatqa-1.5, chatqa, llama-3, pytorch, conversational, en, arxiv:2401.10225, license:llama3, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/nvidia/Llama3-ChatQA-1.5-8B,1.5
nvembed,,Portable (Laptop/Desktop),14.62 GB,112430,nvidia/NV-Embed-v2,490,nvidia/NV-Embed-v2,nvidia,7.9,7.9B,"transformers, safetensors, nvembed, feature-extraction, mteb, sentence-transformers, custom_code, en, arxiv:2405.17428, arxiv:2407.15831, license:cc-by-nc-4.0, model-index, region:us",,https://huggingface.co/nvidia/NV-Embed-v2,v2
qwen3,,Portable (Laptop/Desktop),30.51 GB,47956,nvidia/Nemotron-Orchestrator-8B,460,nvidia/Nemotron-Orchestrator-8B,nvidia,8.2,8.2B,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2511.21689, base_model:Qwen/Qwen3-8B, base_model:finetune:Qwen/Qwen3-8B, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/nvidia/Nemotron-Orchestrator-8B,N/A
gr00t_n1,,Edge-Efficient (Phone/Tablet),4.08 GB,234,nvidia/GR00T-N1-2B,340,nvidia/GR00T-N1-2B,nvidia,2.2,2.2B,"safetensors, gr00t_n1, robotics, dataset:nvidia/PhysicalAI-Robotics-GR00T-X-Embodiment-Sim, arxiv:2503.14734, arxiv:2501.14818, arxiv:2410.24164, region:us",,https://huggingface.co/nvidia/GR00T-N1-2B,N/A
fastconformer,,Ultra-Light (Mobile/IoT),3.02 GB,295611,nvidia/canary-1b-flash,260,nvidia/canary-1b-flash,nvidia,0.811,811.0M,"nemo, safetensors, fastconformer, automatic-speech-recognition, automatic-speech-translation, speech, audio, Transformer, FastConformer, Conformer, pytorch, NeMo, hf-asr-leaderboard, en, de, es, fr, dataset:librispeech_asr, dataset:fisher_corpus, dataset:Switchboard-1, dataset:WSJ-0, dataset:WSJ-1, dataset:National-Singapore-Corpus-Part-1, dataset:National-Singapore-Corpus-Part-6, dataset:vctk, dataset:voxpopuli, dataset:europarl, dataset:multilingual_librispeech, dataset:mozilla-foundation/common_voice_8_0, dataset:MLCommons/peoples_speech, arxiv:2104.02821, arxiv:2503.05931, arxiv:1706.03762, arxiv:2409.13523, license:cc-by-4.0, model-index, region:us",,https://huggingface.co/nvidia/canary-1b-flash,N/A
hymba,,Edge-Efficient (Phone/Tablet),2.84 GB,307,nvidia/Hymba-1.5B-Instruct,242,nvidia/Hymba-1.5B-Instruct,nvidia,1.5,1.5B,"transformers, safetensors, hymba, text-generation, conversational, custom_code, arxiv:2411.13676, base_model:nvidia/Hymba-1.5B-Base, base_model:finetune:nvidia/Hymba-1.5B-Base, license:other, region:us",,https://huggingface.co/nvidia/Hymba-1.5B-Instruct,1.5
mimo,,Portable (Laptop/Desktop),14.59 GB,39210,XiaomiMiMo/MiMo-7B-RL,268,XiaomiMiMo/MiMo-7B-RL,XiaomiMiMo,7.8,7.8B,"transformers, safetensors, mimo, text-generation, conversational, custom_code, arxiv:2505.07608, license:mit, region:us",,https://huggingface.co/XiaomiMiMo/MiMo-7B-RL,N/A
mistral,,Portable (Laptop/Desktop),27.47 GB,338137,mistralai/Mistral-7B-v0.1,4019,mistralai/Mistral-7B-v0.1,mistralai,7.2,7.2B,"transformers, pytorch, safetensors, mistral, text-generation, pretrained, mistral-common, en, arxiv:2310.06825, license:apache-2.0, text-generation-inference, region:us",,https://huggingface.co/mistralai/Mistral-7B-v0.1,v0.1
mistral,,Portable (Laptop/Desktop),27.47 GB,3307718,mistralai/Mistral-7B-Instruct-v0.2,3037,mistralai/Mistral-7B-Instruct-v0.2,mistralai,7.2,7.2B,"transformers, pytorch, safetensors, mistral, text-generation, finetuned, mistral-common, conversational, arxiv:2310.06825, license:apache-2.0, text-generation-inference, deploy:azure, region:us",,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.2,v0.2
mistral,,Portable (Laptop/Desktop),27.0 GB,1111807,mistralai/Mistral-7B-Instruct-v0.3,2308,mistralai/Mistral-7B-Instruct-v0.3,mistralai,7.2,7.2B,"vllm, safetensors, mistral, mistral-common, base_model:mistralai/Mistral-7B-v0.3, base_model:finetune:mistralai/Mistral-7B-v0.3, license:apache-2.0, region:us",,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,v0.3
mistral,,Portable (Laptop/Desktop),27.47 GB,423104,mistralai/Mistral-7B-Instruct-v0.1,1816,mistralai/Mistral-7B-Instruct-v0.1,mistralai,7.2,7.2B,"transformers, pytorch, safetensors, mistral, text-generation, finetuned, mistral-common, conversational, arxiv:2310.06825, base_model:mistralai/Mistral-7B-v0.1, base_model:finetune:mistralai/Mistral-7B-v0.1, license:apache-2.0, text-generation-inference, region:us",,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.1,v0.1
Unknown,,Portable (Laptop/Desktop),27.14 GB,141620,mistralai/Mamba-Codestral-7B-v0.1,607,mistralai/Mamba-Codestral-7B-v0.1,mistralai,7.3,7.3B,"vllm, safetensors, mistral-common, license:apache-2.0, region:us",,https://huggingface.co/mistralai/Mamba-Codestral-7B-v0.1,v0.1
voxtral,,Portable (Laptop/Desktop),17.42 GB,538280,mistralai/Voxtral-Mini-3B-2507,599,mistralai/Voxtral-Mini-3B-2507,mistralai,4.7,4.7B,"mistral-common, safetensors, voxtral, vllm, en, fr, de, es, it, pt, nl, hi, arxiv:2507.13264, license:apache-2.0, region:us",,https://huggingface.co/mistralai/Voxtral-Mini-3B-2507,N/A
mistral,,Portable (Laptop/Desktop),29.88 GB,267585,mistralai/Ministral-8B-Instruct-2410,564,mistralai/Ministral-8B-Instruct-2410,mistralai,8.0,8.0B,"vllm, safetensors, mistral, mistral-common, en, fr, de, es, it, pt, zh, ja, ru, ko, license:other, region:us",,https://huggingface.co/mistralai/Ministral-8B-Instruct-2410,N/A
mistral,,Portable (Laptop/Desktop),27.0 GB,166839,mistralai/Mistral-7B-v0.3,548,mistralai/Mistral-7B-v0.3,mistralai,7.2,7.2B,"vllm, safetensors, mistral, mistral-common, license:apache-2.0, region:us",,https://huggingface.co/mistralai/Mistral-7B-v0.3,v0.3
gemma,,Edge-Efficient (Phone/Tablet),4.67 GB,593,NexaAI/Octopus-v2,891,NexaAI/Octopus-v2,NexaAI,2.5,2.5B,"transformers, safetensors, gemma, text-generation, function calling, on-device language model, android, conversational, en, arxiv:2404.19296, arxiv:2404.11459, arxiv:2404.01744, base_model:google/gemma-2b, base_model:finetune:google/gemma-2b, license:cc-by-nc-4.0, text-generation-inference, region:us",,https://huggingface.co/NexaAI/Octopus-v2,v2
deepseek_vl_v2,,Edge-Efficient (Phone/Tablet),6.21 GB,4987955,deepseek-ai/DeepSeek-OCR,2979,deepseek-ai/DeepSeek-OCR,deepseek-ai,3.3,3.3B,"transformers, safetensors, deepseek_vl_v2, feature-extraction, deepseek, vision-language, ocr, custom_code, image-text-to-text, multilingual, arxiv:2510.18234, license:mit, region:us",,https://huggingface.co/deepseek-ai/DeepSeek-OCR,arxiv:2510.18234
qwen3,,Portable (Laptop/Desktop),15.26 GB,502082,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1001,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,deepseek-ai,8.2,8.2B,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2501.12948, license:mit, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,N/A
llama,,Portable (Laptop/Desktop),14.96 GB,981131,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,834,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,deepseek-ai,8.0,8.0B,"transformers, safetensors, llama, text-generation, conversational, arxiv:2501.12948, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,N/A
multi_modality,,Edge-Efficient (Phone/Tablet),3.89 GB,8300,deepseek-ai/Janus-1.3B,592,deepseek-ai/Janus-1.3B,deepseek-ai,2.1,2.1B,"transformers, safetensors, multi_modality, muiltimodal, text-to-image, unified-model, any-to-any, arxiv:2410.13848, license:mit, endpoints_compatible, region:us",,https://huggingface.co/deepseek-ai/Janus-1.3B,1.3
llama,,Portable (Laptop/Desktop),25.11 GB,41620,deepseek-ai/deepseek-coder-6.7b-instruct,461,deepseek-ai/deepseek-coder-6.7b-instruct,deepseek-ai,6.7,6.7B,"transformers, pytorch, safetensors, llama, text-generation, conversational, license:other, text-generation-inference, endpoints_compatible, deploy:azure, region:us",,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct,6.7
t5, Safeguard,Portable (Laptop/Desktop),2.77 GB,,Salesforce/safety-flan-t5-base,8,Salesforce/safety-flan-t5-base,Salesforce,5.0,5B,"transformers, pytorch, t5, text2text-generation, text-generation-inference",,https://huggingface.co/Salesforce/safety-flan-t5-base,N/A
llama, Safeguard,Portable (Laptop/Desktop),12.55 GB,,BAAI/JudgeLM-7B-v1.0,18,BAAI/JudgeLM-7B-v1.0,BAAI,7.0,7B,"transformers, pytorch, llama, text-generation, instruction-finetuning",,https://huggingface.co/BAAI/JudgeLM-7B-v1.0,v1.0
qwen3, Tool Use,Portable (Laptop/Desktop),14.1 GB,,Qwen/Qwen3-Embedding-8B,489,Qwen/Qwen3-Embedding-8B,Qwen,7.6,7.6B,"sentence-transformers, safetensors, qwen3, text-generation, transformers",,https://huggingface.co/Qwen/Qwen3-Embedding-8B,arxiv:2506.05176
mistral, Safeguard,Portable (Laptop/Desktop),27.0 GB,,allenai/wildguard,36,allenai/wildguard,allenai,7.2,7.2B,"transformers, pytorch, safetensors, mistral, text-generation",,https://huggingface.co/allenai/wildguard,arxiv:2406.18495
mistral," Safeguard,  Tool Use,  Specialized Instruct",Portable (Laptop/Desktop),13.25 GB,,openbmb/Eurus-RM-7b,28,openbmb/Eurus-RM-7b,openbmb,7.1,7.1B,"transformers, safetensors, mistral, feature-extraction, reward_model",,https://huggingface.co/openbmb/Eurus-RM-7b,arxiv:2404.02078
gpt_neox, Specialized Instruct,Edge-Efficient (Phone/Tablet),11.32 GB,,stabilityai/stablecode-completion-alpha-3b-4k,278,stabilityai/stablecode-completion-alpha-3b-4k,stabilityai,3.3,3.3B,"transformers, pytorch, safetensors, gpt_neox, text-generation",,https://huggingface.co/stabilityai/stablecode-completion-alpha-3b-4k,arxiv:2104.09864
llama, Safeguard,Portable (Laptop/Desktop),14.96 GB,,meta-llama/Meta-Llama-Guard-2-8B,301,meta-llama/Meta-Llama-Guard-2-8B,meta-llama,8.0,8.0B,"transformers, safetensors, llama, text-generation, facebook",,https://huggingface.co/meta-llama/Meta-Llama-Guard-2-8B,N/A
deberta-v2, Safeguard,Ultra-Light (Mobile/IoT),1.04 GB,,meta-llama/Prompt-Guard-86M,288,meta-llama/Prompt-Guard-86M,meta-llama,0.2788,278.8M,"transformers, safetensors, deberta-v2, text-classification, facebook",,https://huggingface.co/meta-llama/Prompt-Guard-86M,N/A
llama, Safeguard,Portable (Laptop/Desktop),14.96 GB,,meta-llama/Llama-Guard-3-8B,250,meta-llama/Llama-Guard-3-8B,meta-llama,8.0,8.0B,"transformers, safetensors, llama, text-generation, facebook",,https://huggingface.co/meta-llama/Llama-Guard-3-8B,N/A
llama, Safeguard,Portable (Laptop/Desktop),25.1 GB,,meta-llama/LlamaGuard-7b,239,meta-llama/LlamaGuard-7b,meta-llama,6.7,6.7B,"transformers, safetensors, llama, text-generation, facebook",,https://huggingface.co/meta-llama/LlamaGuard-7b,N/A
llama," Safeguard,  Edge/Mobile",Edge-Efficient (Phone/Tablet),2.79 GB,,meta-llama/Llama-Guard-3-1B,92,meta-llama/Llama-Guard-3-1B,meta-llama,1.5,1.5B,"transformers, safetensors, llama, text-generation, facebook",,https://huggingface.co/meta-llama/Llama-Guard-3-1B,N/A
deberta-v2, Safeguard,Ultra-Light (Mobile/IoT),1.04 GB,,meta-llama/Llama-Prompt-Guard-2-86M,70,meta-llama/Llama-Prompt-Guard-2-86M,meta-llama,0.2788,278.8M,"transformers, safetensors, deberta-v2, text-classification, facebook",,https://huggingface.co/meta-llama/Llama-Prompt-Guard-2-86M,N/A
llama, Safeguard,Portable (Laptop/Desktop),8.46 GB,,meta-llama/Llama-Guard-3-8B-INT8,38,meta-llama/Llama-Guard-3-8B-INT8,meta-llama,8.0,8.0B,"transformers, safetensors, llama, text-generation, facebook",,https://huggingface.co/meta-llama/Llama-Guard-3-8B-INT8,N/A
roberta, Safeguard,Ultra-Light (Mobile/IoT),0.29 GB,,ibm-granite/granite-guardian-hap-38m,43,ibm-granite/granite-guardian-hap-38m,ibm-granite,0.0385,38.5M,"transformers, pytorch, safetensors, roberta, text-classification",,https://huggingface.co/ibm-granite/granite-guardian-hap-38m,license:apache-2.0
granite, Safeguard,Portable (Laptop/Desktop),15.22 GB,,ibm-granite/granite-guardian-3.0-8b,37,ibm-granite/granite-guardian-3.0-8b,ibm-granite,8.2,8.2B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.0-8b,3.0
roberta, Safeguard,Ultra-Light (Mobile/IoT),0.93 GB,,ibm-granite/granite-guardian-hap-125m,26,ibm-granite/granite-guardian-hap-125m,ibm-granite,0.12459999999999999,124.6M,"transformers, pytorch, safetensors, roberta, text-classification",,https://huggingface.co/ibm-granite/granite-guardian-hap-125m,license:apache-2.0
granite," Safeguard,  Edge/Mobile",Edge-Efficient (Phone/Tablet),4.72 GB,,ibm-granite/granite-guardian-3.0-2b,21,ibm-granite/granite-guardian-3.0-2b,ibm-granite,2.5,2.5B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.0-2b,3.0
granite, Safeguard,Portable (Laptop/Desktop),15.22 GB,,ibm-granite/granite-guardian-3.3-8b,21,ibm-granite/granite-guardian-3.3-8b,ibm-granite,8.2,8.2B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.3-8b,3.3
granite, Safeguard,Portable (Laptop/Desktop),0.06 GB,,ibm-granite/granite-guardian-3.2-5b-lora-harm-correction,20,ibm-granite/granite-guardian-3.2-5b-lora-harm-correction,ibm-granite,5.0,5B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.2-5b-lora-harm-correction,3.2
granite," Safeguard,  Edge/Mobile",Edge-Efficient (Phone/Tablet),4.72 GB,,ibm-granite/granite-guardian-3.1-2b,15,ibm-granite/granite-guardian-3.1-2b,ibm-granite,2.5,2.5B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.1-2b,3.1
granite, Safeguard,Portable (Laptop/Desktop),15.22 GB,,ibm-granite/granite-guardian-3.1-8b,14,ibm-granite/granite-guardian-3.1-8b,ibm-granite,8.2,8.2B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.1-8b,3.1
granite, Safeguard,Portable (Laptop/Desktop),10.77 GB,,ibm-granite/granite-guardian-3.2-5b,11,ibm-granite/granite-guardian-3.2-5b,ibm-granite,5.8,5.8B,"transformers, safetensors, granite, text-generation, conversational",,https://huggingface.co/ibm-granite/granite-guardian-3.2-5b,3.2
